                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    115,                0.71939,                0.86314,                 1.0568,                0.99545,                0.99002,                  0.995,                0.89719,                0.50039,                0.35323,                0.91281,             0.00030971,             0.00030971,             0.00030971
                    116,                0.69352,                 0.8327,                 1.0541,                0.99332,                      1,                  0.995,                0.89021,                0.51853,                0.36345,                0.92214,             0.00030892,             0.00030892,             0.00030892
                    117,                0.66221,                0.77162,                 1.0296,                0.99491,                      1,                  0.995,                0.89103,                0.48164,                0.36095,                0.91084,             0.00030813,             0.00030813,             0.00030813
                    118,                0.65219,                0.75226,                 1.0281,                0.99658,                      1,                  0.995,                0.89522,                0.50023,                0.35722,                0.91355,             0.00030734,             0.00030734,             0.00030734
                    119,                0.65721,                 0.7506,                 1.0248,                0.98779,                      1,                  0.995,                0.90289,                0.48544,                  0.355,                 0.9129,             0.00030654,             0.00030654,             0.00030654
                    120,                0.64418,                 0.6973,                 1.0466,                0.98451,                      1,                  0.995,                0.90835,                0.46775,                 0.3531,                0.91056,             0.00030575,             0.00030575,             0.00030575
                    121,                 0.6913,                0.79975,                 1.0377,                0.97775,                      1,                  0.995,                0.88523,                 0.5201,                0.37161,                0.92673,             0.00030496,             0.00030496,             0.00030496
                    122,                0.67013,                0.77576,                  1.042,                0.97374,                      1,                  0.995,                0.90015,                0.47979,                0.38532,                0.90432,             0.00030417,             0.00030417,             0.00030417
                    123,                0.62282,                0.76681,                 1.0052,                0.97862,                      1,                  0.995,                 0.8922,                0.49712,                0.37065,                0.91054,             0.00030338,             0.00030338,             0.00030338
                    124,                0.58603,                0.70098,                 1.0065,                0.99207,                      1,                  0.995,                0.89853,                0.47962,                0.34582,                0.90122,             0.00030258,             0.00030258,             0.00030258
                    125,                0.66882,                  0.755,                 1.0356,                0.99651,                      1,                  0.995,                0.91427,                0.46315,                0.33546,                 0.8909,             0.00030179,             0.00030179,             0.00030179
                    126,                0.63994,                0.77359,                 1.0073,                0.99648,                      1,                  0.995,                0.90822,                0.45209,                0.32969,                0.88667,               0.000301,               0.000301,               0.000301
                    127,                0.64724,                0.73311,                 1.0045,                0.99553,                      1,                  0.995,                0.92353,                0.44594,                0.32888,                0.88556,             0.00030021,             0.00030021,             0.00030021
                    128,                0.65457,                0.73393,                 1.0012,                0.99651,                      1,                  0.995,                0.91719,                0.45353,                0.32314,                 0.8906,             0.00029942,             0.00029942,             0.00029942
                    129,                0.61538,                 0.6953,                 1.0089,                 0.9937,                      1,                  0.995,                 0.9163,                0.44857,                0.32525,                0.88466,             0.00029862,             0.00029862,             0.00029862
                    130,                0.69404,                 0.7204,                 1.0515,                0.99253,                      1,                  0.995,                0.91735,                 0.4469,                0.32727,                0.88536,             0.00029783,             0.00029783,             0.00029783
                    131,                0.69939,                0.74393,                 1.0297,                0.99263,                      1,                  0.995,                0.90317,                0.48999,                0.35236,                0.91133,             0.00029704,             0.00029704,             0.00029704
                    132,                0.64895,                 0.7458,                 1.0087,                0.99122,                      1,                  0.995,                0.90787,                0.45968,                0.34491,                0.89275,             0.00029625,             0.00029625,             0.00029625
                    133,                0.63094,                0.72017,                0.98534,                0.99614,                      1,                  0.995,                 0.9075,                0.45956,                0.32794,                0.88899,             0.00029546,             0.00029546,             0.00029546
                    134,                0.61829,                0.70983,                 1.0214,                 0.9961,                      1,                  0.995,                0.90945,                0.45228,                0.32887,                0.88964,             0.00029466,             0.00029466,             0.00029466
                    135,                0.61579,                0.73237,                0.96651,                0.99602,                      1,                  0.995,                0.90178,                0.48621,                0.34558,                0.90547,             0.00029387,             0.00029387,             0.00029387
                    136,                0.62467,                0.76442,                0.98403,                0.99584,                      1,                  0.995,                0.90001,                0.47779,                0.34394,                0.90686,             0.00029308,             0.00029308,             0.00029308
                    137,                 0.6442,                 0.7038,                  1.042,                0.99343,                      1,                  0.995,                  0.911,                0.45056,                0.33728,                0.88734,             0.00029229,             0.00029229,             0.00029229
                    138,                0.64963,                0.68166,                 1.0324,                0.99551,                      1,                  0.995,                0.91176,                0.45561,                0.34343,                0.88463,              0.0002915,              0.0002915,              0.0002915
                    139,                0.65181,                0.68979,                 1.0238,                0.99598,                      1,                  0.995,                0.91979,                 0.4273,                0.32182,                0.87322,              0.0002907,              0.0002907,              0.0002907
                    140,                0.60653,                0.67524,                0.99175,                0.99595,                      1,                  0.995,                0.91876,                0.44363,                0.31782,                0.87826,             0.00028991,             0.00028991,             0.00028991
                    141,                0.58284,                0.66658,                0.97808,                0.99554,                      1,                  0.995,                0.92276,                0.44628,                0.31249,                 0.8851,             0.00028912,             0.00028912,             0.00028912
                    142,                0.63229,                0.60042,                0.97898,                 0.9948,                      1,                  0.995,                0.92132,                0.43855,                0.31929,                0.88833,             0.00028833,             0.00028833,             0.00028833
                    143,                 0.6817,                0.72865,                 1.0462,                0.99429,                      1,                  0.995,                0.92168,                0.45469,                0.33331,                0.89105,             0.00028754,             0.00028754,             0.00028754
                    144,                0.63936,                 0.6867,                 1.0222,                0.99254,                      1,                  0.995,                0.91325,                0.46068,                0.33456,                0.88951,             0.00028674,             0.00028674,             0.00028674
                    145,                0.60519,                0.66681,                 1.0016,                0.98976,                      1,                  0.995,                0.91866,                0.42942,                0.31024,                0.88171,             0.00028595,             0.00028595,             0.00028595
                    146,                 0.6593,                0.66052,                 1.0339,                0.99011,                      1,                  0.995,                0.92163,                0.42865,                0.31274,                0.87802,             0.00028516,             0.00028516,             0.00028516
                    147,                0.58311,                0.64487,                0.97556,                0.99005,                0.99881,                  0.995,                0.90747,                0.47381,                0.32796,                0.89395,             0.00028437,             0.00028437,             0.00028437
                    148,                0.59457,                0.66768,                0.94442,                0.99346,                      1,                  0.995,                0.90625,                0.49051,                0.33432,                0.90258,             0.00028358,             0.00028358,             0.00028358
                    149,                0.62226,                0.63544,                 1.0017,                0.99374,                      1,                  0.995,                0.92211,                0.45495,                0.30675,                 0.8804,             0.00028278,             0.00028278,             0.00028278
                    150,                0.67264,                0.71025,                 1.0381,                0.99273,                      1,                  0.995,                0.92189,                0.45045,                0.30472,                0.87428,             0.00028199,             0.00028199,             0.00028199
                    151,                0.59278,                0.65326,                 1.0015,                0.99066,                      1,                  0.995,                0.91832,                0.45765,                0.32741,                0.87503,              0.0002812,              0.0002812,              0.0002812
                    152,                 0.5817,                 0.6821,                0.99664,                0.99157,                      1,                  0.995,                0.91718,                0.44949,                0.33434,                0.87477,             0.00028041,             0.00028041,             0.00028041
                    153,                0.59819,                0.69202,                  1.036,                0.99424,                      1,                  0.995,                0.91547,                0.44904,                0.32168,                0.88649,             0.00027962,             0.00027962,             0.00027962
                    154,                0.54483,                0.55941,                0.96973,                0.99506,                      1,                  0.995,                0.91657,                0.45794,                0.32363,                0.88936,             0.00027882,             0.00027882,             0.00027882
                    155,                0.58424,                0.60672,                  0.981,                  0.996,                      1,                  0.995,                0.92637,                0.43905,                0.32722,                0.88289,             0.00027803,             0.00027803,             0.00027803
